1,0.0101,3.10E-07,-2.20E-09,-7.30E-08,3.30E-08,-1.80E-07,1.00E-08,-4.80E-08,-3.10E-08,6.20E-08,-6.80E-08,-1.20E-08,4.50E-09,5.60E-08,-3.90E-07,-4.00E-08,-5.20E-09,-3.80E-07,0.00E+00
2,0.014,-2.20E-09,4.30E-07,3.40E-08,-7.60E-08,1.30E-08,-1.80E-07,-2.40E-07,2.40E-09,4.80E-08,-1.10E-07,-3.70E-09,2.90E-07,5.50E-07,6.80E-09,5.00E-07,6.10E-07,2.60E-08,0.00E+00
3,0.7527,-7.30E-08,3.40E-08,2.20E-05,-6.00E-06,6.90E-07,1.30E-08,-1.90E-07,-4.40E-07,3.50E-07,-1.10E-06,1.40E-07,9.20E-07,3.00E-07,-3.60E-08,1.30E-07,-6.80E-08,1.50E-07,0.00E+00
4,0.3932,3.30E-08,-7.60E-08,-6.00E-06,1.20E-05,-7.00E-07,2.60E-08,3.90E-07,2.60E-07,-1.70E-08,2.50E-07,-1.40E-08,8.00E-07,-1.20E-07,8.60E-09,4.80E-07,1.60E-07,-2.20E-08,0.00E+00
5,0.0224,-1.80E-07,1.30E-08,6.90E-07,-7.00E-07,5.00E-05,-2.30E-07,-6.30E-07,-1.90E-07,-9.50E-08,-8.80E-07,2.40E-07,-9.30E-07,1.20E-06,-3.50E-08,-7.90E-07,8.70E-07,2.10E-07,0.00E+00
6,0.1066,1.00E-08,-1.80E-07,1.30E-08,2.60E-08,-2.30E-07,2.80E-06,1.70E-07,4.20E-08,9.80E-08,-2.90E-07,2.70E-08,-5.60E-07,2.90E-08,-1.70E-07,-5.30E-07,9.00E-08,-1.20E-07,0.00E+00
7,0.0775,-4.80E-08,-2.40E-07,-1.90E-07,3.90E-07,-6.30E-07,1.70E-07,3.40E-06,6.50E-08,-1.60E-07,6.60E-07,-3.40E-08,4.60E-08,2.50E-07,-9.00E-08,-1.50E-07,3.30E-07,-3.00E-08,0.00E+00
8,0.0363,-3.10E-08,2.40E-09,-4.40E-07,2.60E-07,-1.90E-07,4.20E-08,6.50E-08,1.10E-06,-6.10E-08,2.60E-08,-4.80E-08,1.30E-07,1.40E-08,-9.80E-08,1.20E-07,4.20E-08,-5.50E-08,0.00E+00
9,0.0635,6.20E-08,4.80E-08,3.50E-07,-1.70E-08,-9.50E-08,9.80E-08,-1.60E-07,-6.10E-08,1.20E-05,-4.70E-07,-1.20E-08,8.30E-07,1.80E-08,-1.90E-08,1.10E-06,5.50E-08,-2.80E-08,0.00E+00
10,0.0589,-6.80E-08,-1.10E-07,-1.10E-06,2.50E-07,-8.80E-07,-2.90E-07,6.60E-07,2.60E-08,-4.70E-07,1.40E-05,-9.80E-08,-4.30E-07,3.90E-07,9.30E-08,-2.20E-08,2.70E-07,-6.40E-10,0.00E+00
11,0.0369,-1.20E-08,-3.70E-09,1.40E-07,-1.40E-08,2.40E-07,2.70E-08,-3.40E-08,-4.80E-08,-1.20E-08,-9.80E-08,1.10E-06,-4.30E-07,7.20E-08,1.50E-07,-2.20E-07,2.70E-08,7.60E-08,0.00E+00
12,0.1068,4.50E-09,2.90E-07,9.20E-07,8.00E-07,-9.30E-07,-5.60E-07,4.60E-08,1.30E-07,8.30E-07,-4.30E-07,-4.30E-07,3.20E-05,-9.80E-07,9.70E-08,1.60E-05,-6.40E-07,2.90E-08,0.00E+00
13,0.0237,5.60E-08,5.50E-07,3.00E-07,-1.20E-07,1.20E-06,2.90E-08,2.50E-07,1.40E-08,1.80E-08,3.90E-07,7.20E-08,-9.80E-07,1.30E-05,-3.50E-07,-6.20E-07,8.00E-06,-5.20E-08,0.00E+00
14,-0.0027,-3.90E-07,6.80E-09,-3.60E-08,8.60E-09,-3.50E-08,-1.70E-07,-9.00E-08,-9.80E-08,-1.90E-08,9.30E-08,1.50E-07,9.70E-08,-3.50E-07,3.90E-06,-2.20E-08,-2.00E-07,2.70E-06,0.00E+00
15,0.1063,-4.00E-08,5.00E-07,1.30E-07,4.80E-07,-7.90E-07,-5.30E-07,-1.50E-07,1.20E-07,1.10E-06,-2.20E-08,-2.20E-07,1.60E-05,-6.20E-07,-2.20E-08,1.70E-05,-3.40E-07,-6.60E-08,0.00E+00
16,0.0345,-5.20E-09,6.10E-07,-6.80E-08,1.60E-07,8.70E-07,9.00E-08,3.30E-07,4.20E-08,5.50E-08,2.70E-07,2.70E-08,-6.40E-07,8.00E-06,-2.00E-07,-3.40E-07,8.80E-06,5.20E-08,0.00E+00
17,-0.0047,-3.80E-07,2.60E-08,1.50E-07,-2.20E-08,2.10E-07,-1.20E-07,-3.00E-08,-5.50E-08,-2.80E-08,-6.40E-10,7.60E-08,2.90E-08,-5.20E-08,2.70E-06,-6.60E-08,5.20E-08,2.90E-06,0.00E+00
18,5.035,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.31E-04
